genotype	P368.Earheight	P368.Earleafwidth	P368.Earleaflength	P368.Tasselmainaxislength	P368.Tasselbranchnumber	P368.Leafnumberaboveear	P368.Earlength	P368.Eardiameter	P368.Cobdiameter	P368.Kernernumberperrow	P368.100grainweight	P368.cobweight	P368.Kernelwidth	P368.Silkingtime	P368.Pollenshed	P368.Headingdate
CIMBL140	49.53943966	7.932068262	70.77647277	32.57088563	6.127627465	6.249300315	13.01234963	3.816285732	2.364553414	21.69639637	27.6563302	18.02467183	9.719074025	74.8099	71.9141	69.0445
CIMBL141	51.70926772	8.23397152	68.68371058	32.92513062	5.536360562	5.779047053	13.221371	3.560731046	2.152879119	23.32533798	18.51191376	16.92599117	7.993496035	75.024	71.0237	67.4825
CIMBL142	59.12232251	8.748082141	70.52625121	29.72499329	9.854840149	5.808454979	12.13678057	3.892260181	2.475339368	21.73997909	24.45904717	23.37931009	8.627532117	73.2038	70.5785	66.8131
CIMBL143	62.04302834	8.826839513	62.46684204	29.39088434	6.337080976	5.114564693	11.36799856	3.489468269	2.121166446	23.05421731	21.61216974	10.66121587	8.350663306	72.4543	68.3525	66.4784
CIMBL144	60.60994595	8.441074239	81.04238121	28.14543355	6.924164387	6.149450146	14.01260725	3.670425333	2.20768341	26.9416084	20.433855	20.00075768	7.484052818	75.7735	75.0305	70.0486
CIMBL145	56.18549727	8.164694202	74.2522778	27.89112294	5.801872869	5.451866772	13.04253879	3.71174974	2.295844904	24.01590065	20.36625869	15.28916019	7.412579788	70.9553	69.0203	63.4661
CIMBL146	45.73128266	7.695796146	73.89286864	32.0697222	4.224417396	4.397421629	10.32807386	3.341926234	1.979190715	18.5866866	19.44634932	9.012223122	7.618082182	68.9209	67.1282	64.1355
CIMBL147	59.65260716	9.515966516	76.63393216	31.26950143	10.79194241	5.588511045	12.56906824	4.147844966	2.765732544	19.777457	24.36463671	19.51507307	8.211828346	71.3836	68.7977	67.1478
CIMBL148	59.72680064	9.365014887	69.1614063	30.19930868	12.27568766	5.385527961	14.19573052	3.620414105	2.27635355	23.56821892	25.01183219	14.19622745	9.272367588	72.13307	71.9141	70.0486
CIMBL149	58.55449949	9.979759928	69.27400601	30.90034086	10.24920402	6.066697609	12.93098114	3.898172473	2.324361071	21.90628036	23.64230554	15.13487529	8.157090517	71.8119	70.4672	66.4784
CIMBL15	75.11035497	8.831214923	79.68208579	32.72131989	9.478883648	6.085436613	11.1886341	3.707954497	2.401768547	19.86278255	22.26972872	14.53690421	8.064771186	76.523	75.0305	71.9452
CIMBL150	64.18768361	9.450335373	73.97020986	30.11578144	10.43662447	5.577021436	11.15679426	3.835252817	2.188525837	20.28650574	22.29413008	15.1610812	8.002232285	72.7755	71.4689	67.37094
CIMBL151	60.10560693	9.124367362	71.17455254	32.01826346	10.47957499	5.179398913	12.14206055	3.749900935	2.430052048	22.80866761	20.34725427	14.09092737	7.950116534	73.9533	69.3542	67.8172
CIMBL152	48.54677065	7.892689576	70.3670193	31.12109142	11.37372673	5.313717908	10.73137856	3.666190435	2.467825407	20.36427552	17.14496071	16.05017606	7.592751384	69.4563	68.3525	63.9123
CIMBL153	58.62780972	7.897064985	65.56958946	32.54180026	11.20192465	5.42957146	10.29588024	3.631356654	2.206947327	19.06722064	23.65856462	10.72418338	8.11986498	70.3129	67.0169	63.2429
CIMBL154	67.30767401	8.883719837	80.47824532	33.45836254	17.87292137	5.769472379	12.82838609	3.288672495	2.013056486	19.05857323	22.62354852	17.8641011	8.09901868	70.7411	68.1299	64.247
CIMBL155	60.56578316	10.55731399	64.79845208	31.1926862	14.90849877	5.398658942	12.24200229	3.543086759	2.244348536	21.04318598	24.043708	18.77034892	8.279190276	71.3836	69.4655	65.1396
CIMBL156	54.95755101	9.058736219	70.03718178	35.01704048	9.17544101	5.647874022	12.55597853	3.440409174	2.319709179	17.8371009	23.34468282	18.94902554	9.030431299	74.2745	71.9141	66.0321
CIMBL157	73.15350194	6.639134742	70.9971227	29.79658807	14.18503352	6.475125835	11.40885969	3.209703767	2.136424651	16.4771383	21.24743374	13.66972701	8.233115023	74.4886	71.4689	65.2512
CIMBL16	54.40805555	8.551188712	75.28728519	30.45063618	10.10863868	5.613405197	12.22785125	4.198727818	2.796305126	19.36625571	26.46615359	26.02747851	9.193449451	72.24015	71.0237	66.8131
CIMBL17	43.91851071	7.490151898	81.55874753	30.76610066	8.761554178	6.520263583	12.10314519	3.556582569	2.15114506	19.57613971	21.08870261	12.49951427	7.644867135	68.9209	66.5717	62.9082
