OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC148152.3_FG005,AC148152.3_FG008,AC149475.2_FG002,GRMZM2G171650
KAKRNA4_10346258_GRoot_A679_AGATAG,GRoot,GRoot,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,84.17723,0,1.59578,2.39367
KAKRNA23_10346932_L3Base_A679_CCGCAA,L3Base,L3Base,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,0.67112,11.40901,3.35559,0.67112
KAKRNA24_L3Tip_A679_CCGCAA,L3Tip,L3Tip,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,0.85557,149.72534,0.85557,0.85557
KAKRNA17_Kern_A679_CCAATT,Kern,Kern,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,0,0,1.6039,18.44489
10343262_LMAN8_A680_CAGCGT,LMAN8,LMAN,A680,A680,282set_A680,A680,A680:8042MABXX:2:C2,Ames23503,0,65.42296,0,22.92191
KAKRNA14_GShoot_A680_CCTGCT,GShoot,GShoot,A680,A680,282set_A680,A680,A680:8042MABXX:2:C2,Ames23503,5.15489,2.37918,4.75836,6.74101
KAKRNA2_10346259_GRoot_A680_AATAGC,GRoot,GRoot,A680,A680,282set_A680,A680,A680:8042MABXX:2:C2,Ames23503,21.62086,0.76309,2.0349,3.30672
KAKRNA20_10346930_L3Base_A680_AGTTGA,L3Base,L3Base,A680,A680,282set_A680,A680,A680:8042MABXX:2:C2,Ames23503,0,6.76726,2.25575,1.35345
KAKRNA21_10346931_L3Tip_A680_AGTTGA,L3Tip,L3Tip,A680,A680,282set_A680,A680,A680:8042MABXX:2:C2,Ames23503,3.57094,145.2182,0,0
KAKRNA16_Kern_A680_CCGACC,Kern,Kern,A680,A680,282set_A680,A680,A680:8042MABXX:2:C2,Ames23503,0,1.02117,1.53176,19.4023
10343262_LMAN8_A682_ACATTA,LMAN8,LMAN,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,0,112.58101,0,29.16872
10344823_LMAD8_A682_TCGAGG,LMAD8,LMAD,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,0,270.10748,0,30.49601
KAKRNA5_GShoot_A682_TTAACT,GShoot,GShoot,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,214.98322,19.15971,1.69056,10.14338
KAKRNA6_10346261_GRoot_A682_TTAACT,GRoot,GRoot,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,53.1823,1.13154,1.13154,7.92077
KAKRNA23_10346932_L3Base_A682_CTAGTC,L3Base,L3Base,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,16.36886,22.55265,0,8.73006
KAKRNA24_L3Tip_A682_CTAGTC,L3Tip,L3Tip,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,0,204.52913,0,10.87921
KAKRNA18_Kern_A682_ACAGAT,Kern,Kern,A682,A682,282set_A682,A682,A682:8042MABXX:2:E5,PI587143,2.9888,0,0,19.92535
